id;kode_pohon;nama_lokal;nama_latin;Group;Icon;status_iucn;diameter;tinggi;unit_PS;jenis_lahan;nama_khas_wilayah;Latitude;Longitude;elevasi;jarak_permukiman;status_adopsi;nama_pengadopsi;masa_berlaku;nama_surveyor;waktu_survei;harga_adopsi;serapan_karbon;penyedia_bibit;metode_karbon;Image1;Image2;Image3;Image4;chart_link
63;BAA0048RBF;Leban bunga;Vitex Pinnata;Pohon Muda;icon/young_tree.svg;Least Concern;36;12;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5445725;101.0825909;18.62713327;3.34;Belum;-;-;Hari Yudistira;9/22/2021 11:17;50000;1468.26;-;Chave et al, 2014;;;;;
64;BAA0049RBF;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;31;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5444555;101.08266;-20.94975775;3.35;Belum;-;-;Hari Yudistira;9/22/2021 11:22;50000;1551.1;-;Chave et al, 2014;;;;;
65;BAA0050RBF;Asam kandis;Garcinia parfipolia;Pohon Muda;icon/young_tree.svg;Not Defined;33;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5444547;101.0826638;5.829089376;3.35;Belum;-;-;Hari Yudistira;9/22/2021 11:29;50000;1525.15;-;Chave et al, 2014;;;;;
66;BAA0051RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;52;32;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Gambut;Pulau Tilan;1.5475155;101.079773;17.84044922;3.2;Belum;-;-;Hari Yudistira;9/22/2021 12:04;200000;5288.72;-;Chave et al, 2014;;;;;
67;BAA0052RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5475974;101.0797556;6.020973579;3.19;Belum;-;-;Hari Yudistira;9/22/2021 12:09;200000;2490.55;-;Chave et al, 2014;;;;;
68;BAA0089RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;58;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5476123;101.0797623;18.02613552;3.19;Belum;-;-;Hari Yudistira;9/22/2021 12:15;200000;6145.64;-;Chave et al, 2014;;;;;
69;BAA0053RBF;Putat;Planchonia valida;Pohon Dewasa;icon/mature_tree.svg;Not Defined;42;20;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.547914;101.0799074;18.66040359;3.15;Belum;-;-;Hari Yudistira;9/22/2021 13:05;200000;2827.24;-;Chave et al, 2014;;;;;
70;BAA0054RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;43;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5479426;101.0798995;14.37277261;3.15;Belum;-;-;Hari Yudistira;9/22/2021 13:08;200000;4364.11;-;Chave et al, 2014;;;;;
71;BAA0055RBF;Belanti;Coccoceras borneense;Pohon Muda;icon/young_tree.svg;Not Defined;33;25;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5479379;101.0799162;14.80419013;3.15;Belum;-;-;Putri;9/22/2021 13:11;50000;1710.86;-;Chave et al, 2014;;;;;
72;BAA0056RBF;Putat;Planchonia valida;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5479043;101.0799258;10.65504005;3.15;Belum;-;-;Hari Yudistira;9/22/2021 13:16;200000;3818.27;-;Chave et al, 2014;;;;;
73;BAA0057RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;52;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5482018;101.0799568;10.62315213;3.12;Belum;-;-;Hari Yudistira;9/22/2021 13:23;200000;4965.86;-;Chave et al, 2014;;;;;
74;BAA0058RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;32;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5482252;101.0799622;12.47478204;3.12;Belum;-;-;Hari Yudistira;9/22/2021 13:28;200000;3169.08;-;Chave et al, 2014;;;;;
75;BAA0059RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;31;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5482429;101.0799318;14.21968755;3.12;Belum;-;-;Hari Yudistira;9/22/2021 13:33;200000;3072.38;-;Chave et al, 2014;;;;;
76;BAA0060RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;40;32;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5483372;101.0798758;9.889206948;3.11;Belum;-;-;Putri;9/22/2021 13:38;200000;3169.08;-;Chave et al, 2014;;;;;
77;BAA0065RBF;Belanti;Coccoceras borneense;Pohon Muda;icon/young_tree.svg;Not Defined;32;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5483241;101.0798935;7.864265252;3.11;Belum;-;-;Hari Yudistira;9/22/2021 13:42;50000;1924.9;-;Chave et al, 2014;;;;;
78;BAA0061RBF;Putat;Planchonia valida;Pohon Dewasa;icon/mature_tree.svg;Not Defined;45;32;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5483553;101.0799312;17.79162034;3.11;Belum;-;-;Hari Yudistira;9/22/2021 13:47;200000;5117.67;-;Chave et al, 2014;;;;;
79;BAA0062RBF;Belanti;Coccoceras borneense;Pohon Dewasa;icon/mature_tree.svg;Not Defined;42;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5484034;101.0799851;12.78822674;3.1;Belum;-;-;Putri;9/22/2021 13:50;200000;3272.94;-;Chave et al, 2014;;;;;
80;BAA0063RBF;Simpur;Dillenia sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;50;31;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5483939;101.0799185;10.26905656;3.1;Belum;-;-;Hari Yudistira;9/22/2021 13:55;200000;6048.58;-;Chave et al, 2014;;;;;
81;BAA0064RBF;Bintangor;Calophyllum sp.;Pohon Dewasa;icon/mature_tree.svg;Least Concern;42;29;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5484094;101.0798931;5.22184525;3.1;Belum;-;-;Hari Yudistira;9/22/2021 13:58;200000;3594.62;-;Chave et al, 2014;;;;;
82;BAA0069RBF;Putat;Planchonia valida;Pohon Dewasa;icon/mature_tree.svg;Not Defined;50;32;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5485706;101.07991;22.12256349;3.09;Belum;-;-;Hari Yudistira;9/22/2021 14:04;200000;6286.25;-;Chave et al, 2014;;;;;
83;BAA0068RBF;Simpur;Dillenia sp.;Pohon Muda;icon/young_tree.svg;Least Concern;30;30;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5485968;101.0798731;7.015503348;3.09;Belum;-;-;Hari Yudistira;9/22/2021 14:08;50000;2161.26;-;Chave et al, 2014;;;;;
84;BAA0122RBF;Komudan;-;Pohon Dewasa;icon/mature_tree.svg;Not Defined;42;18;Hutan Lindung Pulau Tilan, Kep Rantau Bais;Mineral;Pulau Tilan;1.5485347;101.0798496;21.54312009;3.09;Belum;-;-;Hari Yudistira;9/22/2021 14:12;200000;3305.75;-;Brown, 1997;;;;;
